Batch 1: 0.086 s, average cost 3.838, 5/100 correct (5.0%)
Batch 2: 0.083 s, average cost 3.331, 9/100 correct (9.0%)
Batch 3: 0.087 s, average cost 2.685, 14/100 correct (14.0%)
Batch 4: 0.086 s, average cost 2.621, 7/100 correct (7.0%)
Batch 5: 0.084 s, average cost 2.131, 13/100 correct (13.0%)
Batch 6: 0.082 s, average cost 2.017, 7/100 correct (7.0%)
Batch 7: 0.081 s, average cost 1.903, 9/100 correct (9.0%)
Batch 8: 0.088 s, average cost 1.89, 8/100 correct (8.0%)
Batch 9: 0.095 s, average cost 1.968, 6/100 correct (6.0%)
Batch 10: 0.086 s, average cost 1.792, 13/100 correct (13.0%)
Batch 11: 0.084 s, average cost 1.76, 12/100 correct (12.0%)
Batch 12: 0.084 s, average cost 1.866, 7/100 correct (7.0%)
Batch 13: 0.083 s, average cost 1.779, 8/100 correct (8.0%)
Batch 14: 0.085 s, average cost 1.82, 9/100 correct (9.0%)
Batch 15: 0.083 s, average cost 1.836, 8/100 correct (8.0%)
Batch 16: 0.083 s, average cost 1.747, 13/100 correct (13.0%)
Batch 17: 0.085 s, average cost 1.759, 10/100 correct (10.0%)
Batch 18: 0.085 s, average cost 1.744, 13/100 correct (13.0%)
Batch 19: 0.083 s, average cost 1.791, 10/100 correct (10.0%)
Batch 20: 0.086 s, average cost 1.804, 8/100 correct (8.0%)
Batch 21: 0.1 s, average cost 1.759, 10/100 correct (10.0%)
Batch 22: 0.083 s, average cost 1.787, 8/100 correct (8.0%)
Batch 23: 0.082 s, average cost 1.838, 5/100 correct (5.0%)
Batch 24: 0.082 s, average cost 1.851, 7/100 correct (7.0%)
Batch 25: 0.082 s, average cost 1.778, 8/100 correct (8.0%)
Batch 26: 0.084 s, average cost 1.709, 11/100 correct (11.0%)
Batch 27: 0.09 s, average cost 1.789, 9/100 correct (9.0%)
Batch 28: 0.0895 s, average cost 1.752, 11/100 correct (11.0%)
Batch 29: 0.087 s, average cost 1.733, 11/100 correct (11.0%)
Batch 30: 0.084 s, average cost 1.774, 9/100 correct (9.0%)
Batch 31: 0.084 s, average cost 1.701, 12/100 correct (12.0%)
Batch 32: 0.0838 s, average cost 1.757, 10/100 correct (10.0%)
Batch 33: 0.083 s, average cost 1.777, 10/100 correct (10.0%)
Batch 34: 0.085 s, average cost 1.788, 10/100 correct (10.0%)
Batch 35: 0.082 s, average cost 1.865, 5/100 correct (5.0%)
Batch 36: 0.084 s, average cost 1.874, 3/100 correct (3.0%)
Batch 37: 0.092 s, average cost 1.712, 13/100 correct (13.0%)
Batch 38: 0.086 s, average cost 1.882, 5/100 correct (5.0%)
Batch 39: 0.086 s, average cost 1.857, 4/100 correct (4.0%)
Batch 40: 0.088 s, average cost 1.766, 8/100 correct (8.0%)
Batch 41: 0.088 s, average cost 1.787, 8/100 correct (8.0%)
Batch 42: 0.091 s, average cost 1.796, 9/100 correct (9.0%)
Batch 43: 0.0934 s, average cost 1.708, 12/100 correct (12.0%)
Batch 44: 0.088 s, average cost 1.812, 8/100 correct (8.0%)
Batch 45: 0.088 s, average cost 1.724, 10/100 correct (10.0%)
Batch 46: 0.087 s, average cost 1.706, 11/100 correct (11.0%)
Batch 47: 0.083 s, average cost 1.668, 14/100 correct (14.0%)
Batch 48: 0.082 s, average cost 1.834, 7/100 correct (7.0%)
Batch 49: 0.082 s, average cost 1.796, 7/100 correct (7.0%)
Batch 50: 0.083 s, average cost 1.718, 12/100 correct (12.0%)
Batch 51: 0.084 s, average cost 1.767, 8/100 correct (8.0%)
Batch 52: 0.084 s, average cost 1.694, 12/100 correct (12.0%)
Batch 53: 0.089 s, average cost 1.738, 11/100 correct (11.0%)
Batch 54: 0.084 s, average cost 1.77, 9/100 correct (9.0%)
Batch 55: 0.083 s, average cost 1.818, 7/100 correct (7.0%)
Batch 56: 0.084 s, average cost 1.782, 8/100 correct (8.0%)
Batch 57: 0.083 s, average cost 1.656, 15/100 correct (15.0%)
Batch 58: 0.082 s, average cost 1.753, 9/100 correct (9.0%)
Batch 59: 0.085 s, average cost 1.775, 7/100 correct (7.0%)
Batch 60: 0.086 s, average cost 1.733, 10/100 correct (10.0%)
Batch 61: 0.083 s, average cost 1.709, 11/100 correct (11.0%)
Batch 62: 0.083 s, average cost 1.637, 16/100 correct (16.0%)
Batch 63: 0.084 s, average cost 1.678, 13/100 correct (13.0%)
Batch 64: 0.086 s, average cost 1.809, 7/100 correct (7.0%)
Batch 65: 0.083 s, average cost 1.745, 8/100 correct (8.0%)
Batch 66: 0.084 s, average cost 1.771, 6/100 correct (6.0%)
Batch 67: 0.084 s, average cost 1.76, 10/100 correct (10.0%)
Batch 68: 0.083 s, average cost 1.668, 12/100 correct (12.0%)
Batch 69: 0.083 s, average cost 1.742, 8/100 correct (8.0%)
Batch 70: 0.085 s, average cost 1.689, 10/100 correct (10.0%)
Batch 71: 0.083 s, average cost 1.759, 8/100 correct (8.0%)
Batch 72: 0.086 s, average cost 1.741, 9/100 correct (9.0%)
Batch 73: 0.083 s, average cost 1.688, 11/100 correct (11.0%)
Batch 74: 0.083 s, average cost 1.694, 12/100 correct (12.0%)
Batch 75: 0.086 s, average cost 1.607, 15/100 correct (15.0%)
Batch 76: 0.084 s, average cost 1.716, 10/100 correct (10.0%)
Batch 77: 0.084 s, average cost 1.695, 10/100 correct (10.0%)
Batch 78: 0.146 s, average cost 1.747, 8/100 correct (8.0%)
Batch 79: 0.136 s, average cost 1.65, 12/100 correct (12.0%)
Batch 80: 0.091 s, average cost 1.643, 8/100 correct (8.0%)
Batch 81: 0.087 s, average cost 1.64, 9/100 correct (9.0%)
Batch 82: 0.082 s, average cost 1.632, 10/100 correct (10.0%)
Batch 83: 0.092 s, average cost 1.587, 11/100 correct (11.0%)
Batch 84: 0.094 s, average cost 1.485, 10/100 correct (10.0%)
Batch 85: 0.086 s, average cost 1.572, 8/100 correct (8.0%)
Batch 86: 0.084 s, average cost 1.5, 10/100 correct (10.0%)
Batch 87: 0.087 s, average cost 1.284, 13/100 correct (13.0%)
Batch 88: 0.085 s, average cost 1.319, 12/100 correct (12.0%)
Batch 89: 0.084 s, average cost 1.181, 18/100 correct (18.0%)
Batch 90: 0.086 s, average cost 1.168, 17/100 correct (17.0%)
Batch 91: 0.09 s, average cost 1.067, 19/100 correct (19.0%)
Batch 92: 0.084 s, average cost 1.116, 11/100 correct (11.0%)
Batch 93: 0.086 s, average cost 1.032, 18/100 correct (18.0%)
Batch 94: 0.089 s, average cost 1.061, 17/100 correct (17.0%)
Batch 95: 0.084 s, average cost 1.02, 9/100 correct (9.0%)
Batch 96: 0.083 s, average cost 1.003, 15/100 correct (15.0%)
Batch 97: 0.086 s, average cost 1.058, 15/100 correct (15.0%)
Batch 98: 0.083 s, average cost 0.96, 23/100 correct (23.0%)
Batch 99: 0.084 s, average cost 0.975, 13/100 correct (13.0%)
Batch 100: 0.084 s, average cost 0.978, 10/100 correct (10.0%)
Batch 101: 0.084 s, average cost 0.929, 20/100 correct (20.0%)
Batch 102: 0.085 s, average cost 0.92, 23/100 correct (23.0%)
Batch 103: 0.082 s, average cost 0.897, 24/100 correct (24.0%)
Batch 104: 0.085 s, average cost 0.933, 19/100 correct (19.0%)
Batch 105: 0.088 s, average cost 0.926, 23/100 correct (23.0%)
Batch 106: 0.087 s, average cost 0.945, 17/100 correct (17.0%)
Batch 107: 0.089 s, average cost 0.922, 21/100 correct (21.0%)
Batch 108: 0.09 s, average cost 0.945, 16/100 correct (16.0%)
Batch 109: 0.084 s, average cost 0.967, 17/100 correct (17.0%)
Batch 110: 0.084 s, average cost 0.949, 14/100 correct (14.0%)
Batch 111: 0.084 s, average cost 0.922, 23/100 correct (23.0%)
Batch 112: 0.085 s, average cost 0.931, 20/100 correct (20.0%)
Batch 113: 0.084 s, average cost 0.993, 15/100 correct (15.0%)
Batch 114: 0.084 s, average cost 0.925, 22/100 correct (22.0%)
Batch 115: 0.085 s, average cost 0.904, 25/100 correct (25.0%)
Batch 116: 0.086 s, average cost 0.913, 23/100 correct (23.0%)
Batch 117: 0.083 s, average cost 0.876, 28/100 correct (28.0%)
Batch 118: 0.084 s, average cost 0.895, 30/100 correct (30.0%)
Batch 119: 0.085 s, average cost 0.932, 25/100 correct (25.0%)
Batch 120: 0.085 s, average cost 0.889, 24/100 correct (24.0%)
Batch 121: 0.085 s, average cost 0.932, 25/100 correct (25.0%)
Batch 122: 0.085 s, average cost 0.901, 27/100 correct (27.0%)
Batch 123: 0.085 s, average cost 0.952, 23/100 correct (23.0%)
Batch 124: 0.085 s, average cost 0.879, 30/100 correct (30.0%)
Batch 125: 0.084 s, average cost 0.891, 29/100 correct (29.0%)
Batch 126: 0.086 s, average cost 0.908, 27/100 correct (27.0%)
Batch 127: 0.085 s, average cost 0.885, 25/100 correct (25.0%)
Batch 128: 0.085 s, average cost 0.894, 19/100 correct (19.0%)
Batch 129: 0.083 s, average cost 0.983, 17/100 correct (17.0%)
Batch 130: 0.083 s, average cost 0.903, 24/100 correct (24.0%)
Batch 131: 0.084 s, average cost 0.933, 16/100 correct (16.0%)
Batch 132: 0.084 s, average cost 0.922, 19/100 correct (19.0%)
Batch 133: 0.085 s, average cost 0.89, 27/100 correct (27.0%)
Batch 134: 0.083 s, average cost 0.891, 21/100 correct (21.0%)
Batch 135: 0.084 s, average cost 0.916, 24/100 correct (24.0%)
Batch 136: 0.084 s, average cost 0.91, 19/100 correct (19.0%)
Batch 137: 0.087 s, average cost 0.936, 21/100 correct (21.0%)
Batch 138: 0.083 s, average cost 0.929, 18/100 correct (18.0%)
Batch 139: 0.083 s, average cost 0.905, 25/100 correct (25.0%)
Batch 140: 0.084 s, average cost 0.916, 21/100 correct (21.0%)
Batch 141: 0.082 s, average cost 0.912, 24/100 correct (24.0%)
Batch 142: 0.083 s, average cost 0.859, 33/100 correct (33.0%)
Batch 143: 0.083 s, average cost 0.906, 29/100 correct (29.0%)
Batch 144: 0.081 s, average cost 0.886, 25/100 correct (25.0%)
Batch 145: 0.084 s, average cost 0.86, 29/100 correct (29.0%)
Batch 146: 0.085 s, average cost 0.9, 25/100 correct (25.0%)
Batch 147: 0.085 s, average cost 0.914, 20/100 correct (20.0%)
Batch 148: 0.086 s, average cost 0.893, 21/100 correct (21.0%)
Batch 149: 0.084 s, average cost 0.901, 18/100 correct (18.0%)
Batch 150: 0.083 s, average cost 0.891, 24/100 correct (24.0%)
Batch 151: 0.084 s, average cost 0.888, 26/100 correct (26.0%)
