Batch 1: 0.1217 s, average cost 4.709, 13/150 correct (8.7%)
Batch 2: 0.122 s, average cost 4.154, 16/150 correct (10.7%)
Batch 3: 0.118 s, average cost 3.785, 17/150 correct (11.3%)
Batch 4: 0.1272 s, average cost 3.402, 13/150 correct (8.7%)
Batch 5: 0.1342 s, average cost 3.284, 11/150 correct (7.3%)
Batch 6: 0.124 s, average cost 2.975, 19/150 correct (12.7%)
Batch 7: 0.119 s, average cost 2.988, 8/150 correct (5.3%)
Batch 8: 0.121 s, average cost 2.796, 13/150 correct (8.7%)
Batch 9: 0.131 s, average cost 2.87, 7/150 correct (4.7%)
Batch 10: 0.133 s, average cost 2.765, 10/150 correct (6.7%)
Batch 11: 0.123 s, average cost 2.699, 14/150 correct (9.3%)
Batch 12: 0.127 s, average cost 2.634, 21/150 correct (14.0%)
Batch 13: 0.127 s, average cost 2.598, 13/150 correct (8.7%)
Batch 14: 0.121 s, average cost 2.509, 17/150 correct (11.3%)
Batch 15: 0.183 s, average cost 2.62, 16/150 correct (10.7%)
Batch 16: 0.133 s, average cost 2.547, 10/150 correct (6.7%)
Batch 17: 0.127 s, average cost 2.606, 12/150 correct (8.0%)
Batch 18: 0.121 s, average cost 2.575, 14/150 correct (9.3%)
Batch 19: 0.12 s, average cost 2.427, 25/150 correct (16.7%)
Batch 20: 0.122 s, average cost 2.425, 17/150 correct (11.3%)
Batch 21: 0.12 s, average cost 2.57, 13/150 correct (8.7%)
Batch 22: 0.119 s, average cost 2.469, 18/150 correct (12.0%)
Batch 23: 0.12 s, average cost 2.471, 14/150 correct (9.3%)
Batch 24: 0.125 s, average cost 2.417, 13/150 correct (8.7%)
Batch 25: 0.128 s, average cost 2.369, 11/150 correct (7.3%)
Batch 26: 0.126 s, average cost 2.182, 17/150 correct (11.3%)
Batch 27: 0.121 s, average cost 2.007, 19/150 correct (12.7%)
Batch 28: 0.12 s, average cost 2.006, 7/150 correct (4.7%)
Batch 29: 0.12 s, average cost 1.934, 15/150 correct (10.0%)
Batch 30: 0.118 s, average cost 1.826, 19/150 correct (12.7%)
Batch 31: 0.118 s, average cost 1.864, 13/150 correct (8.7%)
Batch 32: 0.121 s, average cost 1.823, 16/150 correct (10.7%)
Batch 33: 0.119 s, average cost 1.884, 13/150 correct (8.7%)
Batch 34: 0.117 s, average cost 1.843, 12/150 correct (8.0%)
Batch 35: 0.118 s, average cost 1.872, 13/150 correct (8.7%)
Batch 36: 0.122 s, average cost 1.734, 19/150 correct (12.7%)
Batch 37: 0.118 s, average cost 1.799, 16/150 correct (10.7%)
Batch 38: 0.12 s, average cost 1.739, 21/150 correct (14.0%)
Batch 39: 0.118 s, average cost 1.796, 15/150 correct (10.0%)
Batch 40: 0.119 s, average cost 1.879, 9/150 correct (6.0%)
Batch 41: 0.12 s, average cost 1.814, 15/150 correct (10.0%)
Batch 42: 0.119 s, average cost 1.8, 15/150 correct (10.0%)
Batch 43: 0.118 s, average cost 1.845, 12/150 correct (8.0%)
Batch 44: 0.12 s, average cost 1.937, 5/150 correct (3.3%)
Batch 45: 0.119 s, average cost 1.8, 15/150 correct (10.0%)
Batch 46: 0.118 s, average cost 1.8, 16/150 correct (10.7%)
Batch 47: 0.119 s, average cost 1.756, 19/150 correct (12.7%)
Batch 48: 0.119 s, average cost 1.757, 17/150 correct (11.3%)
Batch 49: 0.12 s, average cost 1.762, 17/150 correct (11.3%)
Batch 50: 0.118 s, average cost 1.777, 17/150 correct (11.3%)
Batch 51: 0.119 s, average cost 1.809, 14/150 correct (9.3%)
Batch 52: 0.117 s, average cost 1.799, 14/150 correct (9.3%)
Batch 53: 0.123 s, average cost 1.796, 15/150 correct (10.0%)
Batch 54: 0.118 s, average cost 1.786, 16/150 correct (10.7%)
Batch 55: 0.119 s, average cost 1.844, 12/150 correct (8.0%)
Batch 56: 0.117 s, average cost 1.718, 20/150 correct (13.3%)
Batch 57: 0.119 s, average cost 1.689, 23/150 correct (15.3%)
Batch 58: 0.117 s, average cost 1.779, 16/150 correct (10.7%)
Batch 59: 0.1181 s, average cost 1.769, 16/150 correct (10.7%)
Batch 60: 0.118 s, average cost 1.708, 20/150 correct (13.3%)
Batch 61: 0.121 s, average cost 1.778, 16/150 correct (10.7%)
Batch 62: 0.119 s, average cost 1.688, 23/150 correct (15.3%)
Batch 63: 0.118 s, average cost 1.762, 18/150 correct (12.0%)
Batch 64: 0.117 s, average cost 1.751, 18/150 correct (12.0%)
Batch 65: 0.118 s, average cost 1.709, 21/150 correct (14.0%)
Batch 66: 0.119 s, average cost 1.831, 11/150 correct (7.3%)
Batch 67: 0.12 s, average cost 1.829, 13/150 correct (8.7%)
Batch 68: 0.118 s, average cost 1.818, 13/150 correct (8.7%)
Batch 69: 0.121 s, average cost 1.779, 17/150 correct (11.3%)
Batch 70: 0.121 s, average cost 1.821, 13/150 correct (8.7%)
Batch 71: 0.119 s, average cost 1.812, 13/150 correct (8.7%)
Batch 72: 0.12 s, average cost 1.795, 15/150 correct (10.0%)
Batch 73: 0.12 s, average cost 1.783, 15/150 correct (10.0%)
Batch 74: 0.12 s, average cost 1.713, 20/150 correct (13.3%)
Batch 75: 0.12 s, average cost 1.749, 18/150 correct (12.0%)
Batch 76: 0.12 s, average cost 1.682, 23/150 correct (15.3%)
Batch 77: 0.119 s, average cost 1.715, 21/150 correct (14.0%)
Batch 78: 0.123 s, average cost 1.763, 16/150 correct (10.7%)
Batch 79: 0.118 s, average cost 1.762, 17/150 correct (11.3%)
Batch 80: 0.119 s, average cost 1.907, 6/150 correct (4.0%)
Batch 81: 0.12 s, average cost 1.711, 21/150 correct (14.0%)
Batch 82: 0.119 s, average cost 1.735, 18/150 correct (12.0%)
Batch 83: 0.122 s, average cost 1.843, 11/150 correct (7.3%)
Batch 84: 0.12 s, average cost 1.761, 17/150 correct (11.3%)
Batch 85: 0.12 s, average cost 1.816, 13/150 correct (8.7%)
Batch 86: 0.121 s, average cost 1.83, 11/150 correct (7.3%)
Batch 87: 0.12 s, average cost 1.771, 16/150 correct (10.7%)
Batch 88: 0.119 s, average cost 1.716, 21/150 correct (14.0%)
Batch 89: 0.119 s, average cost 1.769, 16/150 correct (10.7%)
Batch 90: 0.119 s, average cost 1.745, 18/150 correct (12.0%)
Batch 91: 0.12 s, average cost 1.772, 15/150 correct (10.0%)
Batch 92: 0.12 s, average cost 1.858, 9/150 correct (6.0%)
Batch 93: 0.119 s, average cost 1.836, 11/150 correct (7.3%)
Batch 94: 0.119 s, average cost 1.724, 18/150 correct (12.0%)
Batch 95: 0.122 s, average cost 1.778, 16/150 correct (10.7%)
Batch 96: 0.12 s, average cost 1.854, 10/150 correct (6.7%)
Batch 97: 0.12 s, average cost 1.808, 13/150 correct (8.7%)
Batch 98: 0.12 s, average cost 1.756, 17/150 correct (11.3%)
Batch 99: 0.121 s, average cost 1.831, 12/150 correct (8.0%)
Batch 100: 0.12 s, average cost 1.777, 15/150 correct (10.0%)
Batch 101: 0.124 s, average cost 1.829, 11/150 correct (7.3%)
Batch 102: 0.118 s, average cost 1.771, 15/150 correct (10.0%)
Batch 103: 0.122 s, average cost 1.79, 16/150 correct (10.7%)
Batch 104: 0.12 s, average cost 1.829, 12/150 correct (8.0%)
Batch 105: 0.121 s, average cost 1.785, 15/150 correct (10.0%)
Batch 106: 0.119 s, average cost 1.777, 15/150 correct (10.0%)
Batch 107: 0.121 s, average cost 1.78, 15/150 correct (10.0%)
Batch 108: 0.122 s, average cost 1.767, 16/150 correct (10.7%)
Batch 109: 0.119 s, average cost 1.815, 12/150 correct (8.0%)
Batch 110: 0.121 s, average cost 1.836, 11/150 correct (7.3%)
Batch 111: 0.119 s, average cost 1.691, 22/150 correct (14.7%)
Batch 112: 0.12 s, average cost 1.782, 15/150 correct (10.0%)
Batch 113: 0.12 s, average cost 1.831, 11/150 correct (7.3%)
Batch 114: 0.118 s, average cost 1.744, 18/150 correct (12.0%)
Batch 115: 0.118 s, average cost 1.701, 21/150 correct (14.0%)
Batch 116: 0.12 s, average cost 1.774, 15/150 correct (10.0%)
Batch 117: 0.12 s, average cost 1.884, 8/150 correct (5.3%)
Batch 118: 0.12 s, average cost 1.814, 12/150 correct (8.0%)
Batch 119: 0.119 s, average cost 1.795, 15/150 correct (10.0%)
Batch 120: 0.121 s, average cost 1.699, 21/150 correct (14.0%)
Batch 121: 0.119 s, average cost 1.784, 15/150 correct (10.0%)
Batch 122: 0.119 s, average cost 1.857, 9/150 correct (6.0%)
Batch 123: 0.119 s, average cost 1.749, 19/150 correct (12.7%)
Batch 124: 0.12 s, average cost 1.793, 13/150 correct (8.7%)
Batch 125: 0.119 s, average cost 1.793, 14/150 correct (9.3%)
Batch 126: 0.118 s, average cost 1.878, 9/150 correct (6.0%)
Batch 127: 0.12 s, average cost 1.836, 12/150 correct (8.0%)
Batch 128: 0.122 s, average cost 1.75, 16/150 correct (10.7%)
Batch 129: 0.118 s, average cost 1.803, 13/150 correct (8.7%)
Batch 130: 0.119 s, average cost 1.744, 17/150 correct (11.3%)
Batch 131: 0.121 s, average cost 1.779, 15/150 correct (10.0%)
Batch 132: 0.119 s, average cost 1.744, 18/150 correct (12.0%)
Batch 133: 0.121 s, average cost 1.747, 17/150 correct (11.3%)
Batch 134: 0.118 s, average cost 1.757, 16/150 correct (10.7%)
Batch 135: 0.118 s, average cost 1.768, 15/150 correct (10.0%)
Batch 136: 0.119 s, average cost 1.817, 12/150 correct (8.0%)
Batch 137: 0.12 s, average cost 1.778, 16/150 correct (10.7%)
Batch 138: 0.12 s, average cost 1.702, 20/150 correct (13.3%)
Batch 139: 0.118 s, average cost 1.783, 15/150 correct (10.0%)
Batch 140: 0.118 s, average cost 1.79, 14/150 correct (9.3%)
Batch 141: 0.119 s, average cost 1.746, 17/150 correct (11.3%)
Batch 142: 0.12 s, average cost 1.874, 8/150 correct (5.3%)
Batch 143: 0.12 s, average cost 1.735, 18/150 correct (12.0%)
Batch 144: 0.119 s, average cost 1.775, 16/150 correct (10.7%)
Batch 145: 0.12 s, average cost 1.791, 14/150 correct (9.3%)
Batch 146: 0.119 s, average cost 1.822, 12/150 correct (8.0%)
Batch 147: 0.119 s, average cost 1.78, 14/150 correct (9.3%)
Batch 148: 0.117 s, average cost 1.719, 19/150 correct (12.7%)
Batch 149: 0.119 s, average cost 1.752, 17/150 correct (11.3%)
Batch 150: 0.121 s, average cost 1.787, 15/150 correct (10.0%)
Batch 151: 0.119 s, average cost 1.854, 9/150 correct (6.0%)
Batch 152: 0.118 s, average cost 1.674, 23/150 correct (15.3%)
Batch 153: 0.121 s, average cost 1.776, 15/150 correct (10.0%)
Batch 154: 0.119 s, average cost 1.78, 15/150 correct (10.0%)
Batch 155: 0.119 s, average cost 1.776, 16/150 correct (10.7%)
Batch 156: 0.119 s, average cost 1.805, 13/150 correct (8.7%)
Batch 157: 0.119 s, average cost 1.75, 16/150 correct (10.7%)
Batch 158: 0.122 s, average cost 1.75, 17/150 correct (11.3%)
Batch 159: 0.117 s, average cost 1.819, 12/150 correct (8.0%)
Batch 160: 0.118 s, average cost 1.789, 14/150 correct (9.3%)
Batch 161: 0.121 s, average cost 1.906, 6/150 correct (4.0%)
Batch 162: 0.12 s, average cost 1.814, 11/150 correct (7.3%)
Batch 163: 0.12 s, average cost 1.774, 15/150 correct (10.0%)
Batch 164: 0.118 s, average cost 1.817, 12/150 correct (8.0%)
Batch 165: 0.12 s, average cost 1.782, 14/150 correct (9.3%)
Batch 166: 0.12 s, average cost 1.755, 17/150 correct (11.3%)
Batch 167: 0.122 s, average cost 1.793, 14/150 correct (9.3%)
Batch 168: 0.12 s, average cost 1.746, 17/150 correct (11.3%)
Batch 169: 0.119 s, average cost 1.75, 17/150 correct (11.3%)
Batch 170: 0.123 s, average cost 1.784, 14/150 correct (9.3%)
Batch 171: 0.12 s, average cost 1.766, 16/150 correct (10.7%)
Batch 172: 0.119 s, average cost 1.79, 16/150 correct (10.7%)
Batch 173: 0.119 s, average cost 1.853, 10/150 correct (6.7%)
Batch 174: 0.118 s, average cost 1.722, 20/150 correct (13.3%)
Batch 175: 0.12 s, average cost 1.758, 16/150 correct (10.7%)
Batch 176: 0.119 s, average cost 1.809, 13/150 correct (8.7%)
Batch 177: 0.12 s, average cost 1.73, 18/150 correct (12.0%)
Batch 178: 0.121 s, average cost 1.779, 15/150 correct (10.0%)
Batch 179: 0.12 s, average cost 1.78, 16/150 correct (10.7%)
Batch 180: 0.119 s, average cost 1.756, 17/150 correct (11.3%)
Batch 181: 0.119 s, average cost 1.827, 11/150 correct (7.3%)
Batch 182: 0.12 s, average cost 1.838, 10/150 correct (6.7%)
Batch 183: 0.122 s, average cost 1.809, 13/150 correct (8.7%)
Batch 184: 0.12 s, average cost 1.777, 16/150 correct (10.7%)
Batch 185: 0.122 s, average cost 1.772, 16/150 correct (10.7%)
Batch 186: 0.121 s, average cost 1.855, 9/150 correct (6.0%)
Batch 187: 0.121 s, average cost 1.843, 10/150 correct (6.7%)
Batch 188: 0.12 s, average cost 1.765, 14/150 correct (9.3%)
Batch 189: 0.119 s, average cost 1.733, 18/150 correct (12.0%)
Batch 190: 0.118 s, average cost 1.814, 12/150 correct (8.0%)
Batch 191: 0.121 s, average cost 1.809, 12/150 correct (8.0%)
Batch 192: 0.118 s, average cost 1.871, 8/150 correct (5.3%)
Batch 193: 0.118 s, average cost 1.833, 11/150 correct (7.3%)
Batch 194: 0.12 s, average cost 1.836, 11/150 correct (7.3%)
Batch 195: 0.121 s, average cost 1.756, 17/150 correct (11.3%)
Batch 196: 0.118 s, average cost 1.801, 12/150 correct (8.0%)
Batch 197: 0.122 s, average cost 1.781, 15/150 correct (10.0%)
Batch 198: 0.12 s, average cost 1.774, 15/150 correct (10.0%)
Batch 199: 0.12 s, average cost 1.699, 21/150 correct (14.0%)
Batch 200: 0.12 s, average cost 1.755, 16/150 correct (10.7%)
Batch 201: 0.123 s, average cost 1.765, 16/150 correct (10.7%)
Batch 202: 0.118 s, average cost 1.756, 16/150 correct (10.7%)
Batch 203: 0.122 s, average cost 1.768, 15/150 correct (10.0%)
Batch 204: 0.119 s, average cost 1.754, 17/150 correct (11.3%)
